Light,CO2,NH3,Alcohol,Temp,Mix,Heating,Cluster
683,377,10,20,59.9,100,1,3
672,382,10,20,59.3,100,1,3
670,379,10,20,59.2,100,1,3
656,379,10,20,58.4,100,1,3
641,384,10,20,57.7,100,1,3
639,382,10,20,57.6,100,1,3
632,386,10,20,57.4,100,1,3
633,377,10,20,57.2,100,1,3
633,384,10,20,57.1,100,1,3
623,377,10,20,56.9,100,1,3
620,381,10,20,56.5,100,1,3
615,377,10,20,56.4,100,1,3
610,381,10,20,56.0,100,1,3
603,377,10,20,55.8,100,1,3
600,377,10,20,55.7,100,1,3
601,382,10,20,55.5,100,1,3
602,377,10,20,55.3,100,1,3
596,377,10,20,55.1,100,1,3
592,381,10,20,54.9,100,1,3
594,381,10,20,54.7,100,1,3
580,381,10,20,54.1,100,1,3
577,375,10,20,53.7,100,1,3
574,379,10,20,53.6,100,1,3
567,379,10,20,53.4,100,1,3
563,382,10,20,53.3,100,1,3
562,382,10,20,52.9,100,1,3
557,375,10,20,52.7,100,1,3
555,375,10,20,52.6,100,1,3
554,377,10,20,52.4,100,1,3
546,375,10,20,51.9,100,1,3
543,379,10,20,51.7,100,1,3
533,375,10,20,51.3,100,1,3
533,381,10,20,51.2,100,1,3
529,377,10,20,51.0,100,1,3
527,379,10,20,50.7,100,1,3
520,379,10,20,50.5,100,1,3
518,381,10,20,50.4,100,1,3
517,379,10,20,50.2,100,1,3
511,375,10,20,49.9,100,1,3
510,377,10,20,49.9,100,1,3
500,379,10,20,49.4,100,1,3
496,377,10,20,49.2,100,1,3
497,377,10,20,49.1,100,1,3
492,379,10,20,48.9,100,1,3
492,373,10,20,48.8,100,1,3
490,379,10,20,48.6,100,1,3
483,379,10,20,48.4,100,1,3
485,375,10,20,48.3,100,1,3
482,377,10,20,48.1,100,1,3
478,379,10,20,47.9,100,1,3
475,375,10,20,47.7,100,1,3
475,377,10,20,47.7,100,1,3
470,382,10,20,47.5,100,1,3
466,377,10,20,47.4,100,1,3
463,381,10,20,47.1,100,1,3
459,381,10,20,47.1,100,1,3
457,377,10,20,46.9,100,1,3
455,377,10,20,46.7,100,1,3
454,377,10,20,46.6,100,1,3
457,379,10,20,46.4,100,1,3
451,381,10,20,46.4,100,1,3
451,377,10,20,46.2,100,1,3
450,373,10,20,46.1,100,1,3
444,377,10,20,45.9,100,1,3
438,381,10,20,45.8,100,1,3
441,379,10,20,45.7,100,1,3
440,379,10,20,45.5,100,1,3
438,381,10,20,45.4,100,1,3
434,382,10,20,45.2,100,1,3
430,381,10,20,45.1,100,1,3
428,382,10,20,44.9,100,0,3
1378,476,12,26,61.2,0,1,4
1372,474,12,26,61.5,0,1,4
1319,440,11,24,62.0,0,1,4
1364,457,12,25,62.2,0,1,4
1366,450,11,24,62.4,0,1,4
1359,447,11,24,62.4,0,1,4
1355,454,11,25,62.4,0,1,4
1358,457,12,25,62.4,0,1,4
1330,438,11,24,62.4,0,1,4
1355,464,12,25,62.3,0,1,4
1358,474,12,26,62.2,0,1,4
1353,467,12,25,62.2,0,1,4
1350,476,12,26,62.2,0,1,4
1348,474,12,26,62.1,0,1,4
1339,469,12,25,62.1,0,1,4
1340,479,12,26,62.0,0,1,4
1342,474,12,26,61.9,0,1,4
1330,476,12,26,61.9,0,1,4
1339,474,12,26,61.9,0,1,4
1311,457,12,25,61.8,0,1,4
1302,457,12,25,61.7,0,1,4
1323,467,12,25,61.6,0,1,4
1314,464,12,25,61.4,0,1,4
1311,454,11,25,61.4,0,1,4
1279,433,11,23,61.2,0,1,4
1304,445,11,24,61.1,0,1,4
1277,428,11,23,60.9,0,1,4
1307,440,11,24,60.7,0,1,4
1307,440,11,24,60.4,0,1,4
1307,438,11,24,59.8,0,1,4
1305,438,11,24,59.5,0,1,4
1295,428,11,23,58.8,0,1,4
1290,431,11,23,58.4,0,1,4
1289,435,11,23,58.2,0,1,4
1289,431,11,23,57.9,0,1,4
1276,428,11,23,56.9,0,1,4
1253,424,11,23,55.0,0,1,4
1237,428,11,23,54.7,0,1,4
1237,433,11,23,54.4,0,1,4
1237,426,11,23,54.1,0,1,4
1233,426,11,23,53.8,0,1,4
1232,424,11,23,53.6,0,1,4
1221,424,11,23,53.3,0,1,4
1225,424,11,23,53.0,0,1,4
1213,435,11,23,52.4,0,1,4
1216,435,11,23,52.2,0,1,4
1213,440,11,24,52.0,0,1,4
1206,440,11,24,51.7,0,1,4
1198,442,11,24,51.4,0,1,4
1202,442,11,24,51.4,0,1,4
1202,445,11,24,51.2,0,1,4
1199,454,11,25,51.2,0,1,4
1189,447,11,24,51.0,0,1,4
1185,450,11,24,50.9,0,1,4
1184,450,11,24,50.8,0,1,4
1181,447,11,24,50.8,0,1,4
1179,454,11,25,50.7,0,1,1
1177,450,11,24,50.6,0,1,1
1179,457,12,25,50.5,0,1,1
1174,454,11,25,50.5,0,1,1
1135,431,11,23,50.4,0,1,1
1144,426,11,23,50.3,0,1,1
1173,464,12,25,50.2,0,1,1
1173,457,12,25,50.1,0,1,1
1173,457,12,25,50.0,0,1,1
1135,447,11,24,49.9,0,1,1
1171,457,12,25,49.8,0,1,1
1168,462,12,25,49.7,0,1,1
1166,462,12,25,49.6,0,1,1
1166,467,12,25,49.6,0,1,1
1162,467,12,25,49.4,0,1,1
1162,462,12,25,49.4,0,1,1
1131,440,11,24,49.2,0,1,1
1155,457,12,25,49.1,0,1,1
1153,462,12,25,49.1,0,1,1
1152,469,12,25,49.0,0,1,1
1148,467,12,25,48.9,0,1,1
1148,474,12,26,48.8,0,1,1
1143,464,12,25,48.7,0,1,1
1147,467,12,25,48.7,0,1,1
1147,462,12,25,48.6,0,1,1
1147,469,12,25,48.5,0,1,1
1140,471,12,26,48.4,0,1,1
1144,467,12,25,48.4,0,1,1
1134,464,12,25,48.3,0,1,1
1139,474,12,26,48.3,0,1,1
1140,474,12,26,48.1,0,1,1
1143,467,12,25,48.1,0,1,1
1142,474,12,26,48.0,0,1,1
1139,474,12,26,48.0,0,1,1
1140,479,12,26,47.9,0,1,1
1142,476,12,26,47.8,0,1,1
1138,471,12,26,47.7,0,1,1
1140,471,12,26,47.7,0,1,1
1139,479,12,26,47.6,0,1,1
1137,471,12,26,47.6,0,1,1
1099,450,11,24,47.4,0,1,1
1132,479,12,26,47.4,0,1,1
1130,469,12,25,47.2,0,1,1
1133,476,12,26,47.2,0,1,1
1131,479,12,26,47.1,0,1,1
1129,476,12,26,47.1,0,1,1
1128,476,12,26,47.0,0,1,1
1120,471,12,26,46.9,0,1,1
1126,476,12,26,46.8,0,1,1
1082,462,12,25,46.7,0,1,1
1116,474,12,26,46.7,0,1,1
1114,471,12,26,46.5,0,1,1
1113,467,12,25,46.3,0,1,1
1107,457,12,25,46.1,0,1,1
1105,457,12,25,45.9,0,1,1
1069,424,11,23,45.6,0,1,1
1102,450,11,24,45.3,0,1,1
1098,442,11,24,44.9,0,0,1
788,438,11,24,27.9,0,0,0
791,438,11,24,27.9,0,0,0
798,438,11,24,27.9,0,0,0
795,433,11,23,27.8,0,0,0
799,438,11,24,27.8,0,0,0
799,433,11,23,27.8,0,0,0
808,438,11,24,27.8,0,0,0
801,431,11,23,27.8,0,0,0
801,435,11,23,27.8,0,0,0
800,438,11,24,27.8,0,0,0
799,431,11,23,27.9,0,0,0
803,435,11,23,27.8,0,0,0
804,435,11,23,27.9,0,0,0
805,438,11,24,27.9,0,0,0
803,428,11,23,27.9,0,0,0
805,435,11,23,27.9,0,0,0
803,440,11,24,27.9,0,0,0
803,438,11,24,27.9,0,0,0
800,435,11,23,27.9,0,0,0
800,433,11,23,27.9,0,0,0
803,435,11,23,27.9,0,0,0
812,440,11,24,27.9,0,0,0
812,442,11,24,27.9,0,0,0
812,445,11,24,27.9,0,0,0
812,431,11,23,27.9,0,0,0
810,433,11,23,27.9,0,0,0
812,438,11,24,27.9,0,0,0
814,426,11,23,27.9,0,0,0
812,433,11,23,27.9,0,0,0
813,431,11,23,27.9,0,0,0
815,438,11,24,27.9,0,0,0
814,433,11,23,27.9,0,0,0
813,433,11,23,27.9,0,0,0
813,440,11,24,27.9,0,0,0
814,440,11,24,27.9,0,0,0
813,442,11,24,27.9,0,0,0
815,433,11,23,27.9,0,0,0
815,435,11,23,27.9,0,0,0
814,438,11,24,27.9,0,0,0
812,435,11,23,27.9,0,0,0
811,440,11,24,27.9,0,0,0
811,438,11,24,27.9,0,0,0
810,438,11,24,27.9,0,0,0
808,438,11,24,27.9,0,0,0
807,438,11,24,27.9,0,0,0
808,431,11,23,27.9,0,0,0
799,428,11,23,27.9,0,0,0
804,438,11,24,27.9,0,0,0
802,438,11,24,27.8,0,0,0
795,428,11,23,27.9,0,0,0
800,442,11,24,27.9,0,0,0
799,435,11,23,27.8,0,0,0
802,442,11,24,27.8,0,0,0
798,438,11,24,27.8,0,0,0
802,440,11,24,27.8,0,0,0
800,428,11,23,27.9,0,0,0
800,433,11,23,27.8,0,0,0
799,440,11,24,27.8,0,0,0
797,438,11,24,27.8,0,0,0
798,433,11,23,27.8,0,0,0
797,445,11,24,27.8,0,0,0
791,428,11,23,27.8,0,0,0
798,428,11,23,27.8,0,0,0
797,435,11,23,27.8,0,0,0
795,435,11,23,27.8,0,0,0
794,435,11,23,27.8,0,0,0
794,438,11,24,27.8,0,0,0
787,428,11,23,27.8,0,0,0
795,438,11,24,27.8,0,0,0
799,431,11,23,27.8,0,0,0
801,438,11,24,27.8,0,0,0
799,428,11,23,27.8,0,0,0
802,433,11,23,27.8,0,0,0
797,440,11,24,27.8,0,0,0
139,375,10,20,31.2,100,0,2
137,377,10,20,31.1,100,0,2
139,375,10,20,30.8,100,0,2
140,377,10,20,30.6,100,0,2
136,375,10,20,30.6,100,0,2
136,379,10,20,30.4,100,0,2
138,373,10,20,30.3,100,0,2
138,379,10,20,30.3,100,0,2
137,373,10,20,30.1,100,0,2
142,377,10,20,30.1,100,0,2
138,375,10,20,30.0,100,0,2
138,375,10,20,29.9,100,0,2
137,373,10,20,29.9,100,0,2
136,379,10,20,29.8,100,0,2
138,379,10,20,29.7,100,0,2
137,375,10,20,29.7,100,0,2
135,373,10,20,29.6,100,0,2
139,379,10,20,29.4,100,0,2
138,373,10,20,29.4,100,0,2
135,375,10,20,29.4,100,0,2
139,382,10,20,29.3,100,0,2
137,377,10,20,29.3,100,0,2
139,373,10,20,29.3,100,0,2
140,381,10,20,29.2,100,0,2
139,373,10,20,29.2,100,0,2
138,381,10,20,29.2,100,0,2
138,375,10,20,29.1,100,0,2
136,375,10,20,29.1,100,0,2
134,379,10,20,29.1,100,0,2
136,379,10,20,29.0,100,0,2
138,375,10,20,29.0,100,0,2
135,379,10,20,29.0,100,0,2
134,377,10,20,28.9,100,0,2
133,373,10,20,28.9,100,0,2
133,379,10,20,28.8,100,0,2
136,377,10,20,28.8,100,0,2
130,375,10,20,28.7,100,0,2
129,379,10,20,28.7,100,0,2
131,375,10,20,28.7,100,0,2
134,377,10,20,28.6,100,0,2
137,375,10,20,28.6,100,0,2
131,375,10,20,28.6,100,0,2
133,375,10,20,28.6,100,0,2
131,379,10,20,28.5,100,0,2
130,377,10,20,28.5,100,0,2
131,375,10,20,28.4,100,0,2
134,375,10,20,28.4,100,0,2
130,375,10,20,28.4,100,0,2
130,377,10,20,28.4,100,0,2
128,375,10,20,28.3,100,0,2
131,375,10,20,28.3,100,0,2
127,375,10,20,28.3,100,0,2
130,375,10,20,28.3,100,0,2
131,373,10,20,28.3,100,0,2
125,375,10,20,28.3,100,0,2
128,375,10,20,28.2,100,0,2
130,379,10,20,28.2,100,0,2
127,377,10,20,28.2,100,0,2
131,377,10,20,28.1,100,0,2
131,379,10,20,28.2,100,0,2
127,377,10,20,28.1,100,0,2
125,381,10,20,28.1,100,0,2
131,373,10,20,28.1,100,0,2
129,375,10,20,28.1,100,0,2
130,373,10,20,28.1,100,0,2
128,375,10,20,28.0,100,0,2
128,379,10,20,28.0,100,0,2
125,379,10,20,28.0,100,0,2
126,379,10,20,27.9,100,0,2
127,375,10,20,27.9,100,0,2
125,381,10,20,27.9,100,0,2
123,384,10,20,27.9,100,0,2
116,388,10,20,27.9,100,0,2
123,377,10,20,27.9,100,0,2
125,373,10,20,27.9,100,0,2
127,379,10,20,27.9,100,0,2
127,377,10,20,27.9,100,0,2
124,373,10,20,27.9,100,0,2
1201,464,12,25,60.6,20,1,4
1200,474,12,26,60.7,20,1,4
1194,467,12,25,60.8,20,1,4
1188,464,12,25,60.8,20,1,4
1189,457,12,25,60.6,20,1,4
1186,452,11,24,60.5,20,1,4
1195,454,11,25,60.4,20,1,4
1186,450,11,24,60.2,20,1,4
1159,417,11,22,60.0,20,1,4
1182,452,11,24,59.9,20,1,4
1177,447,11,24,59.7,20,1,4
1152,426,11,23,59.5,20,1,4
1137,419,11,22,59.3,20,1,4
1173,447,11,24,59.0,20,1,4
1168,440,11,24,58.8,20,1,4
1165,442,11,24,58.6,20,1,4
1148,447,11,24,58.4,20,1,4
1159,442,11,24,58.3,20,1,4
1150,445,11,24,58.0,20,1,4
1148,438,11,24,57.7,20,1,4
1150,442,11,24,57.5,20,1,4
1140,440,11,24,57.0,20,1,4
1135,438,11,24,56.9,20,1,4
1136,442,11,24,56.6,20,1,4
1134,440,11,24,56.4,20,1,4
1122,442,11,24,56.1,20,1,4
1119,438,11,24,55.9,20,1,4
1119,445,11,24,55.6,20,1,4
1118,440,11,24,55.4,20,1,4
1106,438,11,24,55.1,20,1,4
1110,442,11,24,54.8,20,1,4
1073,428,11,23,54.6,20,1,4
1070,415,11,22,54.4,20,1,4
1092,440,11,24,54.0,20,1,4
1082,442,11,24,53.7,20,1,1
1076,440,11,24,53.5,20,1,1
1075,440,11,24,53.3,20,1,1
1069,438,11,24,53.0,20,1,1
1070,440,11,24,52.7,20,1,1
1070,440,11,24,52.5,20,1,1
1059,447,11,24,52.2,20,1,1
1060,445,11,24,52.0,20,1,1
1027,426,11,23,51.7,20,1,1
1061,454,11,25,51.6,20,1,1
1052,457,12,25,51.4,20,1,1
1036,462,12,25,51.1,20,1,1
1032,464,12,25,51.0,20,1,1
1011,440,11,24,50.9,20,1,1
1036,467,12,25,50.8,20,1,1
1033,469,12,25,50.6,20,1,1
1027,469,12,25,50.4,20,1,1
1020,469,12,25,50.2,20,1,1
1024,474,12,26,50.2,20,1,1
1020,471,12,26,50.1,20,1,1
1020,474,12,26,50.0,20,1,1
1019,476,12,26,49.9,20,1,1
1002,452,11,24,49.9,20,1,1
990,445,11,24,49.7,20,1,1
1019,479,12,26,49.7,20,1,1
1017,479,12,26,49.7,20,1,1
1018,474,12,26,49.6,20,1,1
1011,481,12,26,49.5,20,1,1
1010,479,12,26,49.4,20,1,1
980,462,12,25,49.3,20,1,1
1001,471,12,26,49.2,20,1,1
998,479,12,26,49.1,20,1,1
1001,481,12,26,48.9,20,1,1
993,476,12,26,48.9,20,1,1
994,476,12,26,48.8,20,1,1
994,479,12,26,48.7,20,1,1
993,479,12,26,48.6,20,1,1
993,479,12,26,48.4,20,1,1
979,479,12,26,48.4,20,1,1
985,479,12,26,48.3,20,1,1
988,479,12,26,48.2,20,1,1
987,479,12,26,48.1,20,1,1
986,479,12,26,48.0,20,1,1
984,479,12,26,47.9,20,1,1
982,479,12,26,47.8,20,1,1
982,476,12,26,47.7,20,1,1
978,479,12,26,47.7,20,1,1
956,467,12,25,47.6,20,1,1
979,467,12,25,47.6,20,1,1
967,474,12,26,47.4,20,1,1
969,479,12,26,47.4,20,1,1
969,479,12,26,47.2,20,1,1
969,481,12,26,47.1,20,1,1
968,481,12,26,47.0,20,1,1
967,479,12,26,46.9,20,1,1
968,479,12,26,46.8,20,1,1
967,479,12,26,46.7,20,1,1
965,476,12,26,46.6,20,1,1
964,481,12,26,46.6,20,1,1
963,479,12,26,46.5,20,1,1
963,487,12,27,46.4,20,1,1
957,479,12,26,46.4,20,1,1
953,479,12,26,46.3,20,1,1
957,487,12,27,46.2,20,1,1
961,481,12,26,46.2,20,1,1
931,457,12,25,46.1,20,1,1
921,457,12,25,46.1,20,1,1
953,481,12,26,46.0,20,1,1
928,467,12,25,46.0,20,1,1
927,454,11,25,45.8,20,1,1
953,479,12,26,45.7,20,1,1
944,474,12,26,45.6,20,1,1
948,471,12,26,45.5,20,1,1
944,476,12,26,45.1,20,1,1
914,445,11,24,45.1,20,1,1
698,479,12,26,33.4,20,0,0
695,479,12,26,33.0,20,0,0
697,474,12,26,32.7,20,0,0
699,479,12,26,32.6,20,0,0
704,471,12,26,32.5,20,0,0
698,474,12,26,32.4,20,0,0
701,474,12,26,32.3,20,0,0
706,479,12,26,32.1,20,0,0
707,476,12,26,31.9,20,0,0
708,471,12,26,31.8,20,0,0
705,479,12,26,31.8,20,0,0
708,474,12,26,31.7,20,0,0
707,474,12,26,31.6,20,0,0
700,479,12,26,31.6,20,0,0
704,471,12,26,31.5,20,0,0
705,476,12,26,31.5,20,0,0
699,479,12,26,31.4,20,0,0
699,476,12,26,31.3,20,0,0
701,476,12,26,31.2,20,0,0
701,479,12,26,31.2,20,0,0
700,476,12,26,31.1,20,0,0
702,476,12,26,31.1,20,0,0
701,476,12,26,31.0,20,0,0
701,479,12,26,31.0,20,0,0
702,479,12,26,30.9,20,0,0
700,476,12,26,30.8,20,0,0
701,479,12,26,30.8,20,0,0
700,471,12,26,30.8,20,0,0
699,474,12,26,30.7,20,0,0
698,479,12,26,30.7,20,0,0
697,476,12,26,30.6,20,0,0
699,479,12,26,30.6,20,0,0
694,479,12,26,30.6,20,0,0
